Position,City,Population,Area,Density
323,Taguaí,13859,145.332,95.3609666143726
324,Urupês,13809,323.916,42.6314229615085
325,Piquete,13657,175.996,77.598354508057
326,Avanhandava,13649,338.37,40.3375003694181
327,Piratininga,13636,402.409,33.8859220345469
328,Morungaba,13622,146.752,92.8232664631487
329,Queluz,13420,249.399,53.8093576959009
330,Valentim Gentil,13326,149.741,88.9936623903941
331,Palmares Paulista,13275,82.125,161.643835616438
332,Joanópolis,13220,374.293,35.319923161801
333,Ribeirão Bonito,13219,471.553,28.0329040425997
334,Presidente Bernardes,13106,749.233,17.4925557203166
335,Tapiratiba,12960,221.891,58.4070557165455
336,Palestina,12957,697.701,18.5709924451878
337,Mineiros do Tietê,12908,213.242,60.5321653332833
338,Sete Barras,12832,1062.699,12.0749149100545
339,Cananeia,12540,1237.354,10.1345290030177
340,Riolândia,12518,631.897,19.810190584858
341,Duartina,12445,264.557,47.0409023386265
342,Chavantes,12418,188.727,65.798746337302
343,Tabapuã,12407,345.792,35.8799509531742
344,Ibirá,12393,271.912,45.5772455794522
345,Bocaina,12329,363.926,33.877766359095
346,Cardoso,12326,639.248,19.2820313868796
347,São Sebastião da Grama,12182,252.41,48.2627471177846
348,Guaiçara,12168,277.154,43.903389451352
349,Lavínia,11980,537.675,22.2811177756079
350,Sales Oliveira,11890,305.776,38.8846737481032
351,Bofete,11730,653.541,17.9483766129439
352,Iacanga,11710,547.393,21.3923086338335
353,Nhandeara,11478,436.159,26.3160911502457
354,Pirangi,11417,215.809,52.9032616804675
355,Getulina,11409,676.755,16.8583904071636
356,Pedro de Toledo,11331,670.44,16.9008412385896
357,Estiva Gerbi,11304,74.144,152.460077686664
358,Guaraci,11188,641.501,17.4403469363259
359,Nova Europa,11186,160.25,69.8034321372855
360,Ilha Comprida,11166,196.567,56.8050588349011
361,Bernardino de Campos,11148,244.158,45.6589585432384
362,Divinolândia,11146,223.749,49.8147477754091
363,Areiópolis,11129,85.907,129.547068341346
364,Parapuã,10964,366.663,29.9021172029902
365,Bananal,10945,616.429,17.7554917111298
366,São Bento do Sapucaí,10878,252.579,43.0677134678655
367,General Salgado,10869,494.376,21.9852905480849
368,Vera Cruz,10843,247.716,43.7719000791229
369,Rincão,10799,316.639,34.1050849705816
370,Roseira,10712,130.654,81.9875396084314
371,São Luiz do Paraitinga,10687,617.315,17.3120692029191
372,Cajobi,10542,176.929,59.5832226486331
373,Vargem,10537,142.595,73.894596584733
374,Ouroeste,10361,288.648,35.8949308500319
375,Sarapuí,10285,352.592,29.1696918818351
376,Uchoa,10110,252.434,40.0500724941965
377,Torrinha,10010,315.266,31.7509658510591
378,Rinópolis,9981,358.481,27.8424797966977
379,Porangaba,9925,265.689,37.3557053547569
380,Dumont,9868,111.376,88.6007757506105
381,Manduri,9846,229.04,42.9881243450926
382,Nova Campina,9755,385.375,25.3130068115472
383,Ariranha,9668,132.624,72.8978163831584
384,Reginópolis,9621,410.406,23.4426397274894
385,Igaratá,9534,292.953,32.5444695906852
386,Herculândia,9526,364.252,26.1522242842867
387,Euclides da Cunha Paulista,9371,573.894,16.3287993950102
388,Terra Roxa,9370,221.541,42.2946542626421
389,Salto Grande,9331,188.441,49.5168248947947
390,Palmeira d'Oeste,9283,318.74,29.1240509506181
391,Iaras,9240,401.381,23.0205216490068
392,Cedral,9237,197.838,46.6897158281018
393,Urânia,9114,209.262,43.5530578891533
394,Rafard,9076,121.645,74.6105470837272
395,Bálsamo,9068,149.881,60.5013310559711
396,Paulo de Faria,8945,737.986,12.1208261403333
397,Neves Paulista,8930,219.05,40.7669481853458
398,Dobrada,8929,149.729,59.6344061604632
399,São José da Bela Vista,8928,276.952,32.236633062769
400,Dourado,8873,205.874,43.0991771666165
401,Santa Lúcia,8817,154.033,57.2409808287835
402,Vista Alegre do Alto,8810,95.429,92.3199446709072
403,Pereiras,8668,223.136,38.8462641617668
404,Cristais Paulista,8631,385.23,22.4047971341796
405,Clementina,8617,168.59,51.1121656088736
406,Ouro Verde,8562,266.778,32.0941007129523
407,Arealva,8560,504.973,16.951401362053
408,Santo Antônio do Aracanguá,8420,1308.432,6.43518348679947
409,Estrela d'Oeste,8419,296.281,28.4155919549347
410,Guaraçaí,8323,569.197,14.6223539477545
411,Irapuru,8294,214.461,38.6736982481663
412,Saltinho,8286,99.738,83.0776634783132
413,Icém,8243,362.355,22.7484097087111
414,Águas da Prata,8180,142.673,57.3339034014845
415,Iepê,8159,594.974,13.7132042744725
416,Macaubal,8120,248.087,32.7304534296436
417,Monte Alegre do Sul,8038,110.308,72.8686949269319
418,Bilac,8034,158.025,50.8400569530138
419,Irapuã,7993,161.118,49.6096028997381
420,Lindoia,7980,48.756,163.67216342604
421,Itobi,7841,138.986,56.41575410473
422,Tapiraí,7807,755.1,10.3390279433188
423,Catiguá,7804,148.393,52.5900817424003
424,Ibirarema,7753,228.23,33.9701178635587
425,Sud Mennucci,7718,594.744,12.9770119580862
426,Ribeirão Grande,7673,333.363,23.0169514913173
427,São Pedro do Turvo,7666,731.221,10.4838345725848
428,Barra do Turvo,7659,1007.684,7.60059701255552
429,Guatapará,7656,413.567,18.5121153283507
430,Restinga,7593,245.746,30.8977562198367
431,Ipeúna,7546,190.01,39.7136992789853
432,Tarabai,7468,201.385,37.0831988479778
433,Nuporanga,7432,348.265,21.3400714972794
434,Barbosa,7402,205.212,36.0700153987096
435,Pauliceia,7366,374.091,19.690396187024
436,Cosmorama,7307,441.68,16.5436515124072
437,Lavrinhas,7260,167.067,43.4556196017167
438,Jaci,7067,145.13,48.6942740990836
439,Orindiúva,7066,247.378,28.5635747722109
440,Nova Aliança,6973,217.515,32.0575592487874
441,Jaborandi,6929,273.438,25.3402965206006
442,Santo Antônio da Alegria,6929,310.311,22.3292116618489
443,Tuiuti,6894,126.731,54.3986869826641
444,Santo Antônio do Pinhal,6811,133.008,51.2074461686515
445,Anhembi,6724,736.557,9.12896082720007
446,Guarantã,6664,461.746,14.4321769977434
447,Natividade da Serra,6661,833.372,7.99282913272824
448,Quintana,6638,318.937,20.8128878116995
449,Jambeiro,6602,184.413,35.8000791701236
450,Gália,6548,355.914,18.3977028158488
451,Oriente,6515,218.668,29.7940256461851
452,Itirapuã,6499,161.118,40.3368959396219
453,Paraíso,6454,155.186,41.5888031136829
454,Pardinho,6435,209.894,30.6583323010663
455,Arandu,6357,285.908,22.2344250598094
456,Sales,6331,308.555,20.5182220349695
457,Iacri,6321,321.948,19.6336054269634
458,Ubarana,6309,209.861,30.0627558240931
459,Silveiras,6302,414.782,15.1935233447932
460,Taiaçu,6295,107.059,58.7993536274391
461,Taciba,6285,607.267,10.3496485071641
462,Colômbia,6210,728.648,8.52263369967392
463,Santa Maria da Serra,6173,252.621,24.4358149164163
464,Echaporã,6102,515.258,11.8426108861968
465,Pedra Bela,6093,158.587,38.4205514953937
466,Águas de Santa Bárbara,6075,404.463,15.019915295095
467,Poloni,6059,135.12,44.8416222616933
468,Coroados,6058,246.825,24.5437050541882
469,Alambari,6025,159.6,37.750626566416
470,Campina do Monte Alegre,6024,185.031,32.5567067140101
471,Santa Albertina,6008,272.692,22.0321828289792
472,Piacatu,5980,272.692,21.9295028823728
473,Américo de Campos,5969,252.876,23.6044543570762
474,Santo Antônio do Jardim,5954,109.956,54.1489323001928
475,Caiuá,5874,551.159,10.6575416531346
476,Marabá Paulista,5853,919.519,6.36528445850494
477,Taquarivaí,5852,231.792,25.2467729688686
478,Novais,5830,117.772,49.5024284210169
479,Três Fronteiras,5807,151.594,38.3062654194757
480,Luiziânia,5790,166.576,34.7589088464125
481,Fernando Prestes,5783,169.99,34.0196482146009
482,Guaimbê,5765,217.811,26.4679010701939
483,Balbinos,5735,91.635,62.5852567250505
484,Barra do Chapéu,5724,405.681,14.1096082882856
485,Braúna,5686,195.176,29.1326802475714
486,Aramina,5620,202.829,27.7080693589181
487,Santa Ernestina,5599,134.421,41.652717953296
488,Sabino,5590,305.285,18.3107587991549
489,Taiúva,5566,132.459,42.0205497550185
490,Riversul,5524,385.878,14.3154053871949
491,Mendonça,5490,195.15,28.1322059953882
492,Avaí,5403,540.689,9.99280547597602
493,Ipiguá,5392,136.028,39.6388978739671
494,Salmourão,5300,172.934,30.6475302716643
495,Guzolândia,5267,252.477,20.8613061783846
496,Pratânia,5261,175.1,30.0456881781839
497,Planalto,5237,289.825,18.069524713189
498,Álvaro de Carvalho,5227,153.662,34.0162174122425
499,Canitar,5216,57.459,90.7777719765398
